Unnamed: 0,Unnamed: 0.1,Participant ID,Question ID,Comment,Label,Sentiment,Label_encoded,Sentiment_encoded,kfold
3333,2170,74725,One Change,That everyone is treated fairly stop discriminating against people for having nails because of there sexuality  and firing them. Stop discriminating  Does not discriminat age.,Employee relations,Negative,5,0,0
3207,27,56939,Unique / Unusual,some of the co worker appreciation things they do are unique and fun.  To involve the caregiver's in more things like having a family day where they can really get to know each other and their families.,Appreciation/Recognition,Positive,0,2,0
4196,2325,57033,One Change,raising the pay would probably attract and keep people with maturity and better work ethic.,Incentives/Growth,Negative,6,0,0
1230,2766,83974,One Change,Better pay ,Incentives/Growth,Negative,6,0,0
394,2276,56693,One Change,better pay ,Incentives/Growth,Negative,6,0,0
4297,1887,75244,Unique / Unusual,supportive ,Communication/Support,Positive,4,2,0
3226,2341,57204,One Change,"Wages for our front line staff.  We do our best to train our coworkers and give them the tools they need to succeed and be comfortable, but at the end of the day, the constant complaint is money.  I believe the retention of coworkers is directly associated with their wages.",Incentives/Growth,Negative,6,0,0
253,6446,75607,One Change,STOP FUCKING SPAMMING ME!  the uniforms ,Other,Negative,11,0,0
2151,1515,93049,Unique / Unusual,The residents and employees are great,Co-Workers/Teamwork,Positive,3,2,0
2377,6948,80855,One Change,Supplies Not using paper time sheets but allowing us to put our time on our iPads.,Supplies/Systems,Negative,13,0,0
4868,6965,91783,One Change,"Having one internet site to do all of my activity (outside of the site we use for all Patient notes, etc.) To increase the security of the facility, which the company in currently making efforts in improving.
",Supplies/Systems,Negative,13,0,0
3643,6436,56568,One Change,more casual jeans days  more casual jeans days ,Other,Negative,11,0,0
1973,222,56598,One Change,Increased pay rate.  Increased PTO accrual as service time increases. Weekends off and pay rates.,Balancing Personal/Productivity (including time off),Negative,1,0,0
2652,4184,74771,One Change,Thorough documentation training so we all will be on the same page Little more training with caretakers understanding dementia.,Learning & Development,Negative,8,0,0
3818,236,74295,One Change,To give us certain day off for  2 days of 7 days schedule instead of asking every time you need a day off which is subject for approval.Why canâ€™t we get more than 3 weeks vacation a year please .,Balancing Personal/Productivity (including time off),Negative,1,0,0
2902,6898,56902,Unique / Unusual,"I am given the freedom to come and go to campuses as needed.  I am also able to purchase needed supplies for campuses as needed without being micromanaged Time Sheets take forever to fill out, I don't understand why we need them if we're clocking in and out in the app or through the client's phone. ",Supplies/Systems,Positive,13,2,0
2785,163,92058,One Change,"Make employees feel more valued and place more emphasis on patients instead of money. The company practice and focus on the theme ""We Care"". Under this theme, the company shows us appreciation by throwing us a yearly holiday party. ",Appreciation/Recognition,Negative,0,0,0
2256,6435,56502,Unique / Unusual,It can be a fun place to work you can sing with the residents and get to know them  transportation,Other,Positive,11,2,0
2402,3959,92452,One Change,We only have one dynamometer in a large OT department.  An easier transition to Infinity would have entailed the necessary evaluation paperwork being provided in a more organized manner-in a notebook with many copies.  ,Inspiring Work/Place; Quality,Negative,7,0,0
805,6941,76262,One Change,"A cleaner facility!!  Decent equipment for the residents who live here (ie: wheelchairs, shower chairs, seat cushions etc).  one System for all clinical work, medications, nurse notes etc.",Supplies/Systems,Negative,13,0,0
79,367,57476,Unique / Unusual,benefits if work 52 hrs ,Benefits,Positive,2,2,0
3214,129,86806,One Change,"For the PRN staff to be able to have a chance to get employee of the month. Everyone is a team but when prn people don't  have a chance to get get employee of the month it makes me feel as if were not apart of the team. I use to be prn and that's how I felt we all are there to do the same job and that is take care of the ones who live at the Benton House.  The appreciation ,good organization",Appreciation/Recognition,Negative,0,0,0
537,350,57004,One Change,food,Benefits,Negative,2,0,0
4339,6886,56391,One Change,Country Meadows policies falling more in line with state regulations. Less restrictive policies that leave us open to more opportunities for citations The tablets in the dining room ,Supplies/Systems,Positive,13,2,0
3657,3522,75060,Unique / Unusual, i love working with the residence and hearing there stories  of when they were younger. third shift is a great team to work for everyone gets along so well and there is great team work on third shift ,Inspiring Work/Place; Quality,Positive,7,2,0
2076,4202,75485,One Change,Little more training with caretakers understanding dementia.,Learning & Development,Negative,8,0,0
2013,5719,75186,One Change,None,No answer/Nothing,No answer/Nothing,10,1,0
3554,4266,92246,Unique / Unusual,Lifelong learning  Thorough documentation training so we all will be on the same page,Learning & Development,Positive,8,2,0
4564,3141,56442,Unique / Unusual,"This is the first place I have worked where they care so deeply, not just with the co-workers, but with the residents as well. I have worked for a few different homes and this is the first one where I go home with a smile on my face and a positive attitude. I really enjoy this work and hope to keep working with Country Meadows.",Inspiring Work/Place; Quality,Positive,7,2,0
877,5380,56998,One Change,Nothing.,No answer/Nothing,No answer/Nothing,10,1,0
4602,4080,93623,Unique / Unusual,"This is, by far, the cleanest skilled nursing facility I have ever worked in and seen in my 25 years of practice.
The activities offered to the residents and the overall involvement with the schools and community are like none I have ever seen. It is heartwarming the support and interest this little community has with it's residents here. Honestly wonderful to be a part of it all. ",Inspiring Work/Place; Quality,Positive,7,2,0
2366,6952,84547,One Change,"Need equipment to be able to lift residents We need more stuff, resenable  pay ,
Supply please  ",Supplies/Systems,Negative,13,0,0
630,6889,56431,Unique / Unusual,They allow family members to work here. Not using paper time sheets but allowing us to put our time on our iPads.,Supplies/Systems,Positive,13,2,0
2092,2430,58448,One Change,Would love a higher pay scale for caregivers but budget can not allow that.  They work very hard for their money ,Incentives/Growth,Negative,6,0,0
4905,5541,74217,Unique / Unusual,None,No answer/Nothing,No answer/Nothing,10,1,0
2377,6948,80855,One Change,Supplies Avamere Facilities purchase equipment to better serve our clients,Supplies/Systems,Negative,13,0,0
425,4221,83606,One Change,Better orientation and training  More cross training with in the company and between campuses to give co-worker a new and fresh approach to challenges facing our company. ,Learning & Development,Negative,8,0,0
3283,4791,75520,One Change,"I wish our community received more support from Regional level management. Regional directors will come to our community once or maybe twice a year to point fingers, but offer little to no help. It leaves our community with a lack of checks-and-balances for management success. ",Management Reliability/Integrity,Negative,9,0,0
2392,246,75017,One Change,PRN pay should be more considered we only work as needed also I feel that every employee should be honored a weekend off it should be rotated every other weekend but instead only first shift get EVERY WEEKEND OFF So UNFAIR! Thatâ€™s the one reason I went PRN I had no days for family which almost all of us has Lessening productivity standards as they are unreasonable if you would like to provide adequate patient care and document progress. ,Balancing Personal/Productivity (including time off),Negative,1,0,0
4652,6470,93325,One Change,I would change the location and have it be closer to my home.  Maybe a union ,Other,Negative,11,0,0
4943,1802,58413,Unique / Unusual,Entrepreneurial opportunities. Autonomy is encouraged. ,Communication/Support,Positive,4,2,0
3412,6485,74581,One Change,"To be able to wear more comfortable scrubs and/or ones we want like the fun prints of different themes or animals. To me I think it would make our clients more cheerful and happy to see all the different prints that we could wear through out the years.  A different office location - the building itself is great, but the location is inconvenient and in a less than desirable area.",Other,Negative,11,0,0
4080,2191,92837,One Change,People should look beyond skin color. Less drama and talking about fellow co-workers.  ,Employee relations,Negative,5,0,0
3554,4266,92246,Unique / Unusual,Lifelong learning  There are many trainings & meetings to educate employees working here!,Learning & Development,Positive,8,2,0
4216,2159,56584,One Change,Less drama and talking about fellow co-workers.   less drama more team work,Employee relations,Negative,5,0,0
523,2255,56591,One Change,Better pay for what we do o we don't have to hold down two jobs just to make ends meet.,Incentives/Growth,Negative,6,0,0
4281,3118,56357,Unique / Unusual,the building is nice,Inspiring Work/Place; Quality,Positive,7,2,0
3155,4586,74346,Unique / Unusual,"the company is cooperative when needing time, and we treat each other like family",Management Reliability/Integrity,Positive,9,2,0
4080,2191,92837,One Change,People should look beyond skin color. Everyone is so nice!,Employee relations,Negative,5,0,0
3529,2163,57477,One Change,tell mangers when they know things not to spread the rumors No back biting and speaking about others in the kitchen,Employee relations,Negative,5,0,0
1878,2173,75184,Unique / Unusual,Does not discriminat age.,Employee relations,Positive,5,2,0
3847,6711,75540,One Change,The full time hours one month then part time hours the next month.,Staffing and Scheduling,Negative,12,0,0
2264,5586,74458,One Change,None,No answer/Nothing,No answer/Nothing,10,1,0
3239,529,86372,One Change,Benefits be more like Googleâ€™s or Amazonâ€™s,Benefits,Negative,2,0,0
