Comment,topic_1final,topic_2final,topic_2nd_ratio,sentiment_1final,sentiment_2final
Not a thing!,No answer/Nothing,Inspiring Work/Place,0.00013247032198294138,Nothing,Negative
I do appreciate the Christian heritage of this facility,Inspiring Work/Place,Co-Workers/Teamwork,0.0058345409008753275,Positive,Negative
There is really nothing I would change.  ,No answer/Nothing,Inspiring Work/Place,0.0002323701053350798,Nothing,Negative
nothing that stands out ,No answer/Nothing,Inspiring Work/Place,0.0002097415524984123,Nothing,Positive
"Managers being accessible, not Rude , not condescending , not irritated and put out when you have questions and not making you feel stupid when you have questions.PROFESSIONAL not talking behind employees backs with other employees.  
",Management Reliability/Integrity,Co-Workers/Teamwork,0.0066092266425155375,Negative,Positive
To give us permanent regular  2 days off every week instead of asking or requesting every time you wants to take off,Balancing Personal/Productivity,Staffing and Scheduling,0.03750953596608702,Negative,Positive
Hardwork,Co-Workers/Teamwork,Inspiring Work/Place,0.052793663241588046,Positive,Negative
The recent changes at Home Office are going to better the company as a whole.  Their ideas and strengths in looking at changing the way we do things are going to help the continued success of this company.,Management Reliability/Integrity,Co-Workers/Teamwork,0.040864569910822546,Positive,Negative
If i could change one thing about this company it would be the pay. I think that we need more money for the work that is done.,Incentives/Growth,Inspiring Work/Place,0.0010534833177019694,Negative,Positive
"We are an ALF not a nursing home. Total care without lifts should not be allowed in our facility. Having to depend on 2 people to lift some people is very difficult when we're short staffed majority of the time. Double standards with residents shouldn't be allowed just because a staff member might know the family personally, everyone should be treated equally not matter the price paid to live here. Med Techs should be allowed especially when a nurse calls in so we have to people to give meds. Benefits should be more resembled to our location. United healthcare isn't excepted in most locations and PTO should be more than 0.0345 per hour worked and start collecting day of employment not 240 hours in to being employed. Benefits are a major impact to keeping employees. ",Inspiring Work/Place,Benefits,0.05638142833560857,Negative,Positive
PTO ACCUMLATES AT A VERY NICE RATE.  ,Benefits,Incentives/Growth,0.05470048922896789,Positive,Negative
No,No answer/Nothing,Inspiring Work/Place,0.00010874206932586781,Nothing,Negative
"Assign or give breaks, and/or break area for the employees; as well as, have a place setup for employees personals",Benefits,Balancing Personal/Productivity,0.32403046649074274,Negative,Positive
No,No answer/Nothing,Inspiring Work/Place,0.00010874206932586781,Nothing,Negative
N/a,No answer/Nothing,Inspiring Work/Place,0.00011168394997968676,Nothing,Negative
"This company actually cares for its people and residents. It's a fun place to work. Every resident that I have interfaced with, truly is happy they have located there. ",Inspiring Work/Place,Management Reliability/Integrity,0.004869270242987204,Positive,Negative
"A total assistant living facility,with swimming pool, bathroom with tubs,do that the Residents could enjoy a good body spa. And better dining room,",Inspiring Work/Place,Benefits,0.006549925942238397,Negative,Positive
I believe the company does work hard at hiring people who they feel would do well working with the elderly.  The training the company offers provides a good foundation for new employees.,Staffing and Scheduling,Inspiring Work/Place,0.07426335904485612,Positive,Negative
Good team,Co-Workers/Teamwork,Inspiring Work/Place,0.0014547058738946345,Positive,Negative
wages & benefits could be better,Incentives/Growth,Benefits,0.008522339191506094,Negative,Positive
the managers,Management Reliability/Integrity,Co-Workers/Teamwork,0.0011355534777020982,Negative,Positive
I loved working there until the  favoritism and back stabbing and gossiping and  lying surfaced. ,Employee relations,Co-Workers/Teamwork,0.027195844477392053,Negative,Positive
"Improved, fair pay",Incentives/Growth,Inspiring Work/Place,0.0014555281636468955,Negative,Positive
We need better communication. ,Communication/Support,Co-Workers/Teamwork,0.0006625122002304094,Negative,Positive
"Opportunity to advance
Benefits",Benefits,Incentives/Growth,0.0015394758072036887,Positive,Negative
I absolutely love working for a faith based organization where we keep God and prayer in all that we do. My co-workers are like family and we genuinely care about each other.  I smile when its time to come to work. What a blessing!,Co-Workers/Teamwork,Inspiring Work/Place,0.0038811374704088675,Positive,Negative
Improved communication to the home office and the field,Communication/Support,Management Reliability/Integrity,0.0008442952921104543,Negative,Positive
"It is a very welcoming place, and everyone is nice.",Co-Workers/Teamwork,Inspiring Work/Place,0.004357784412070666,Positive,Nothing
nothing,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
I think they are very organized and offer good support. I feel that the company truly wants to be the best industry and I really like that characteristic because I want to be associated/work with the best,Management Reliability/Integrity,Communication/Support,0.04405270203883615,Positive,Negative
No teamwork or direction for care staff! ,Co-Workers/Teamwork,Communication/Support,0.01608041943596909,Negative,Positive
Slightly higher pay. Other than that I feel very fortunate to work for Valeo. ,Incentives/Growth,Inspiring Work/Place,0.0014416532528859678,Negative,Positive
"I think Bethany has a great amount of people who are welcoming and help you get acclimated to your new role. David, Debbie, Gabby, Jack, and multiple new additions to the team during my time have been instrumental in providing the best care for residents here and making sure we work as a team. Very thankful for these people.",Co-Workers/Teamwork,Inspiring Work/Place,0.0050548485526876515,Positive,Negative
Helping employees out,Co-Workers/Teamwork,Communication/Support,0.010658576396452998,Positive,Negative
Seems great now.,No answer/Nothing,Inspiring Work/Place,0.0010226157037097744,Nothing,Positive
"More benefits for employees such as vacation time, profit sharing, etc. ",Benefits,Incentives/Growth,0.0016986525844314055,Negative,Positive
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
"The level of care residents require that are being brought in. I work in personal care and for about the past year id say out building is a mixture between personal care, pathways and connections. I understand the level care required is increasing with the populations therefore, I think we should be required to have more PCA's on the floor to assist with the residents rather then the standard 2 we are required right now. ",Inspiring Work/Place,Staffing and Scheduling,0.016499571077860382,Negative,Positive
Everyone is always nice.,Co-Workers/Teamwork,Inspiring Work/Place,0.004350184889966167,Positive,Negative
